Range    : 0.200

Accuracy : 0.001

Control file  : gr32new

Spectrum file : 9md

Searching 3 3 0 near 2743.85356
3 3 1 2628.41917 100.1 2743.75976
3 1 3 2672.29473 95.7 2743.75988

3 3 1 2628.45731 99.9 2743.79789
2 1 1 2692.65743 100.0 2743.79759

3 3 1 2628.54951 99.7 2743.8901
4 3 1 2561.24128 82.7 2743.88977
2 1 1 2692.75011 91.1 2743.89026
4 1 3 2595.74914 99.8 2743.88972

3 3 1 2628.58992 98.4 2743.93051
4 3 1 2561.28161 100.0 2743.9301

4 3 1 2561.24128 82.7 2743.88977
2 1 1 2692.75011 91.1 2743.89026
4 1 3 2595.74914 99.8 2743.88972

4 3 1 2561.37774 100.1 2744.02623
4 1 3 2595.88497 98.8 2744.02555

2 1 1 2692.75011 91.1 2743.89026
4 1 3 2595.74914 99.8 2743.88972

Searching 4 3 1 near 2808.75645
3 3 0 2691.17797 98.0 2808.56995
5 3 2 2544.83125 93.5 2808.5702

3 3 0 2691.28123 99.8 2808.67322
3 1 2 2713.61721 99.2 2808.67351

4 3 2 2634.74963 98.7 2808.71688
5 3 2 2544.97791 99.3 2808.71686

4 3 2 2634.86466 94.1 2808.83192
3 1 2 2713.77642 98.3 2808.83272

5 3 2 2544.90807 96.4 2808.64702
5 1 4 2598.42935 99.0 2808.64662

5 3 2 2545.16718 100.0 2808.90612
5 1 4 2598.68877 99.2 2808.90604

3 1 2 2713.75547 87.9 2808.81177
5 1 4 2598.59508 99.7 2808.81235

Searching 4 4 1 near 2820.4751
4 4 0 2623.77746 99.9 2820.57957
5 4 2 2549.47359 91.7 2820.57963
3 2 2 2724.1873 94.0 2820.57975
4 2 2 2650.24376 96.1 2820.5795
5 2 4 2610.31467 99.8 2820.57944

5 4 2 2549.47359 91.7 2820.57963
3 2 2 2724.1873 94.0 2820.57975
4 2 2 2650.24376 96.1 2820.5795
5 2 4 2610.31467 99.8 2820.57944

3 2 2 2724.1873 94.0 2820.57975
4 2 2 2650.24376 96.1 2820.5795
5 2 4 2610.31467 99.8 2820.57944

4 2 2 2650.24376 96.1 2820.5795
5 2 4 2610.31467 99.8 2820.57944

Searching 5 3 2 near 2889.03327
5 3 3 2644.61404 97.5 2889.00653
5 1 5 2722.66146 99.7 2889.00562

5 3 3 2644.69259 93.3 2889.08508
6 1 5 2607.48984 100.0 2889.08441

5 3 3 2644.86553 87.2 2889.25803
6 3 3 2532.74293 74.3 2889.25804
5 5 1 2593.15353 98.6 2889.25794
4 1 3 2741.11735 86.2 2889.25793

6 3 3 2532.74293 74.3 2889.25804
5 5 1 2593.15353 98.6 2889.25794
4 1 3 2741.11735 86.2 2889.25793

5 5 1 2593.01103 100.1 2889.11544
4 1 3 2740.97524 87.3 2889.11582

5 5 1 2593.15353 98.6 2889.25794
4 1 3 2741.11735 86.2 2889.25793

Searching 5 4 2 near 2895.35765
4 4 1 2699.37922 99.7 2895.04063
5 2 3 2651.6978 100.0 2895.04124

4 4 1 2699.52438 99.2 2895.1858
6 6 1 2478.60994 98.2 2895.18566

5 4 1 2618.09869 97.9 2895.43627
6 6 1 2478.86097 99.3 2895.43669

6 4 3 2535.85621 100.0 2895.22246
6 6 1 2478.646 100.1 2895.22172

