Range    : 0.200

Accuracy : 0.001

Control file  : gr32new

Spectrum file : 9md

Searching 3 3 0 near 2743.85356
2 1 1 2692.75011 91.1 2743.89026
4 1 3 2595.74914 99.8 2743.88972

2 1 1 2692.75011 91.1 2743.89026
4 1 3 2595.74914 99.8 2743.88972

2 1 1 2692.75011 91.1 2743.89026
4 1 3 2595.74914 99.8 2743.88972

Searching 4 3 1 near 2808.75645
3 3 0 2691.17797 98.0 2808.56995
5 3 2 2544.83125 93.5 2808.5702

3 1 2 2713.75547 87.9 2808.81177
5 1 4 2598.59508 99.7 2808.81235

Searching 4 4 1 near 2820.4751
3 2 2 2724.1873 94.0 2820.57975
4 2 2 2650.24376 96.1 2820.5795
5 2 4 2610.31467 99.8 2820.57944

3 2 2 2724.1873 94.0 2820.57975
4 2 2 2650.24376 96.1 2820.5795
5 2 4 2610.31467 99.8 2820.57944

3 2 2 2724.1873 94.0 2820.57975
4 2 2 2650.24376 96.1 2820.5795
5 2 4 2610.31467 99.8 2820.57944

Searching 5 3 2 near 2889.03327
Searching 5 4 2 near 2895.35765
Searching 6 3 3 near 2980.44235
5 3 2 2716.71103 65.1 2980.44997
6 3 4 2655.30364 63.2 2980.45004
7 3 4 2522.57037 57.0 2980.45004
5 5 0 2683.77232 95.1 2980.44991
6 5 2 2592.56508 89.4 2980.4499
7 5 2 2474.69353 53.9 2980.44997
5 1 4 2770.2327 72.9 2980.44997
7 1 6 2618.09869 97.9 2980.45026

5 3 2 2716.8026 100.1 2980.54155
7 3 4 2522.66092 99.6 2980.5406

5 5 0 2683.77232 95.1 2980.44991
6 5 2 2592.56508 89.4 2980.4499
7 5 2 2474.69353 53.9 2980.44997
5 1 4 2770.2327 72.9 2980.44997
7 1 6 2618.09869 97.9 2980.45026

5 5 0 2683.77232 95.1 2980.44991
6 5 2 2592.56508 89.4 2980.4499
7 5 2 2474.69353 53.9 2980.44997
5 1 4 2770.2327 72.9 2980.44997
7 1 6 2618.09869 97.9 2980.45026

5 5 0 2683.77232 95.1 2980.44991
6 5 2 2592.56508 89.4 2980.4499
7 5 2 2474.69353 53.9 2980.44997
5 1 4 2770.2327 72.9 2980.44997
7 1 6 2618.09869 97.9 2980.45026

5 1 4 2770.2327 72.9 2980.44997
7 1 6 2618.09869 97.9 2980.45026

5 1 4 2770.2327 72.9 2980.44997
7 1 6 2618.09869 97.9 2980.45026

5 1 4 2770.02703 85.9 2980.2443
7 1 6 2617.89271 100.1 2980.24428

5 1 4 2770.2327 72.9 2980.44997
7 1 6 2618.09869 97.9 2980.45026

5 1 4 2770.50993 100.0 2980.7272
7 1 6 2618.37601 99.9 2980.72757

Searching 6 4 3 near 2982.71854
Searching 7 3 4 near 3080.21767
6 3 3 2723.54094 100.0 3080.05605
8 3 5 2512.3585 85.6 3080.05535

6 3 3 2723.5983 87.5 3080.11342
7 3 5 2664.59145 84.4 3080.11351
8 3 5 2512.41672 89.8 3080.11357
6 5 1 2688.22563 97.8 3080.11326
7 5 3 2586.74499 94.8 3080.11359
8 5 3 2444.70516 88.0 3080.1134
6 1 5 2798.51894 92.5 3080.11351
8 1 7 2627.6187 99.4 3080.11316

6 5 1 2688.22563 97.8 3080.11326
7 5 3 2586.74499 94.8 3080.11359
8 5 3 2444.70516 88.0 3080.1134
6 1 5 2798.51894 92.5 3080.11351
8 1 7 2627.6187 99.4 3080.11316

6 5 1 2688.22563 97.8 3080.11326
7 5 3 2586.74499 94.8 3080.11359
8 5 3 2444.70516 88.0 3080.1134
6 1 5 2798.51894 92.5 3080.11351
8 1 7 2627.6187 99.4 3080.11316

6 5 1 2688.22563 97.8 3080.11326
7 5 3 2586.74499 94.8 3080.11359
8 5 3 2444.70516 88.0 3080.1134
6 1 5 2798.51894 92.5 3080.11351
8 1 7 2627.6187 99.4 3080.11316

6 1 5 2798.51894 92.5 3080.11351
8 1 7 2627.6187 99.4 3080.11316

6 1 5 2798.51894 92.5 3080.11351
8 1 7 2627.6187 99.4 3080.11316

6 1 5 2798.51894 92.5 3080.11351
8 1 7 2627.6187 99.4 3080.11316

Searching 7 4 4 near 3080.80776
Searching 8 3 5 near 3188.45272
7 3 4 2730.43308 72.3 3188.31276
8 3 6 2673.01548 60.4 3188.31275
9 3 6 2501.82415 81.9 3188.31285
7 5 2 2682.55542 89.5 3188.31186
8 5 4 2577.58854 84.2 3188.31276
9 5 4 2411.93579 78.8 3188.31263
7 1 6 2825.96117 84.1 3188.31274
8 1 8 2808.90455 99.7 3188.31205
9 1 8 2636.29869 97.7 3188.31271

7 5 2 2682.55542 89.5 3188.31186
8 5 4 2577.58854 84.2 3188.31276
9 5 4 2411.93579 78.8 3188.31263
7 1 6 2825.96117 84.1 3188.31274
8 1 8 2808.90455 99.7 3188.31205
9 1 8 2636.29869 97.7 3188.31271

7 5 2 2682.55542 89.5 3188.31186
8 5 4 2577.58854 84.2 3188.31276
9 5 4 2411.93579 78.8 3188.31263
7 1 6 2825.96117 84.1 3188.31274
8 1 8 2808.90455 99.7 3188.31205
9 1 8 2636.29869 97.7 3188.31271

7 5 2 2682.55542 89.5 3188.31186
8 5 4 2577.58854 84.2 3188.31276
9 5 4 2411.93579 78.8 3188.31263
7 1 6 2825.96117 84.1 3188.31274
8 1 8 2808.90455 99.7 3188.31205
9 1 8 2636.29869 97.7 3188.31271

7 1 6 2825.96117 84.1 3188.31274
8 1 8 2808.90455 99.7 3188.31205
9 1 8 2636.29869 97.7 3188.31271

7 1 6 2825.96117 84.1 3188.31274
8 1 8 2808.90455 99.7 3188.31205
9 1 8 2636.29869 97.7 3188.31271

7 1 6 2825.96117 84.1 3188.31274
8 1 8 2808.90455 99.7 3188.31205
9 1 8 2636.29869 97.7 3188.31271

Searching 8 4 5 near 3188.58442
7 4 4 2729.71862 88.1 3188.38735
8 4 4 2579.82233 93.3 3188.38768
9 4 6 2501.85781 94.1 3188.3873

Searching 9 3 6 near 3305.61161
8 3 5 2737.7871 93.1 3305.48395
9 3 7 2681.06928 85.7 3305.48394
8 5 3 2670.07561 99.2 3305.48385
8 1 7 2852.98947 95.8 3305.48392
10 1 9 2644.58751 99.5 3305.48437

8 5 3 2670.07561 99.2 3305.48385
9 5 5 2567.01625 95.5 3305.48386
10 5 5 2380.04508 95.4 3305.48381
8 1 7 2852.98947 95.8 3305.48392
10 1 9 2644.58751 99.5 3305.48437

8 5 3 2670.07561 99.2 3305.48385
9 5 5 2567.01625 95.5 3305.48386
10 5 5 2380.04508 95.4 3305.48381
8 1 7 2852.98947 95.8 3305.48392
10 1 9 2644.58751 99.5 3305.48437

8 5 3 2670.29917 94.6 3305.70741
10 5 5 2380.2677 98.8 3305.70643

8 1 7 2852.98947 95.8 3305.48392
10 1 9 2644.58751 99.5 3305.48437

8 1 7 2852.98947 95.8 3305.48392
10 1 9 2644.58751 99.5 3305.48437

8 1 7 2852.98947 95.8 3305.48392
10 1 9 2644.58751 99.5 3305.48437

8 1 7 2853.00242 88.7 3305.49687
9 1 9 2836.25136 99.8 3305.49772
10 1 9 2644.60007 98.2 3305.49693

Searching 9 4 6 near 3305.63955
8 4 5 2737.61548 79.7 3305.49721
9 4 5 2567.63624 86.4 3305.49717
10 4 7 2491.03078 88.9 3305.49677
8 6 3 2659.03761 97.2 3305.49698
10 6 5 2378.39475 86.6 3305.49692
8 2 7 2853.00242 88.7 3305.49708
9 2 7 2681.08411 64.6 3305.49713
10 2 9 2644.60007 98.2 3305.49693

8 6 3 2659.03761 97.2 3305.49698
10 6 5 2378.39475 86.6 3305.49692
8 2 7 2853.00242 88.7 3305.49708
9 2 7 2681.08411 64.6 3305.49713
10 2 9 2644.60007 98.2 3305.49693

8 6 3 2659.03761 97.2 3305.49698
10 6 5 2378.39475 86.6 3305.49692
8 2 7 2853.00242 88.7 3305.49708
9 2 7 2681.08411 64.6 3305.49713
10 2 9 2644.60007 98.2 3305.49693

8 6 3 2659.03761 97.2 3305.49698
10 6 5 2378.39475 86.6 3305.49692
8 2 7 2853.00242 88.7 3305.49708
9 2 7 2681.08411 64.6 3305.49713
10 2 9 2644.60007 98.2 3305.49693

8 2 7 2853.00242 88.7 3305.49708
9 2 7 2681.08411 64.6 3305.49713
10 2 9 2644.60007 98.2 3305.49693

8 2 7 2852.98947 95.8 3305.48414
10 2 9 2644.58751 99.5 3305.48438

8 2 7 2853.00242 88.7 3305.49708
9 2 7 2681.08411 64.6 3305.49713
10 2 9 2644.60007 98.2 3305.49693

Searching 10 3 7 near 3431.84029
9 3 6 2745.27098 87.3 3431.75968
10 3 8 2688.90706 64.7 3431.7602
11 3 8 2480.11334 92.7 3431.75975
9 1 8 2879.74524 88.7 3431.75926
10 1 10 2863.28633 99.5 3431.75916
11 1 10 2652.63269 98.3 3431.76018

9 1 8 2879.74524 88.7 3431.75926
11 1 10 2652.63269 98.3 3431.76018

9 1 8 2879.74524 88.7 3431.75926
10 1 10 2863.28633 99.5 3431.75916
11 1 10 2652.63269 98.3 3431.76018

9 1 8 2879.74524 88.7 3431.75926
10 1 10 2863.28633 99.5 3431.75916
11 1 10 2652.63269 98.3 3431.76018

9 1 8 2879.74524 88.7 3431.75926
10 1 10 2863.28633 99.5 3431.75916
11 1 10 2652.63269 98.3 3431.76018

Searching 10 4 7 near 3431.84617
9 4 6 2745.23237 95.5 3431.76185
10 4 6 2556.12993 96.7 3431.76195
11 4 8 2480.11334 92.7 3431.76171

9 2 8 2879.74524 88.7 3431.75929
10 2 8 2688.90706 64.7 3431.75987
11 2 10 2652.63269 98.3 3431.76018

Searching 11 3 8 near 3567.15155
10 5 5 2641.72071 59.8 3567.15943
12 5 7 2319.481 98.7 3567.15951
10 1 9 2906.26216 93.1 3567.15901
12 1 11 2660.4696 98.8 3567.15834

10 5 5 2641.72071 59.8 3567.15943
11 5 7 2544.79515 97.9 3567.15994
12 5 7 2319.481 98.7 3567.15951

10 1 9 2906.16454 99.3 3567.0614
12 1 11 2660.37332 98.6 3567.06206

10 1 9 2906.26216 93.1 3567.15901
12 1 11 2660.4696 98.8 3567.15834

Searching 11 4 8 near 3567.1528
10 4 7 2752.69224 90.9 3567.15823
11 4 7 2544.83125 93.5 3567.15809
12 4 9 2469.10237 96.6 3567.15804
10 6 5 2640.05511 97.8 3567.15728
12 6 7 2319.34439 93.7 3567.15808
10 2 9 2906.26216 93.1 3567.15902
11 2 9 2696.56224 73.5 3567.15849
12 2 11 2660.4696 98.8 3567.15834

