J,V,J1,J2,J3,Value
0,1,0,0,0,2628.454511
1,1,1,0,1,2642.067448
1,1,1,1,1,2643.274336
1,1,1,1,0,2647.533781
2,1,2,0,2,2666.007073
2,1,2,2,0,2685.887293
2,1,2,1,2,2666.24129
2,1,2,1,1,2679.005233
2,1,2,2,1,2682.616898
3,1,3,0,3,2698.98674
3,1,3,2,1,2734.513615
3,1,3,1,3,2699.018526
3,1,3,3,1,2741.678396
3,1,3,1,2,2722.328269
3,1,3,3,0,2743.853558
3,1,3,2,2,2723.4473
4,1,4,0,4,2741.21469
4,1,4,2,2,2796.723737
4,1,4,4,0,2821.743803
4,1,4,1,4,2741.218677
4,1,4,3,2,2799.800781
4,1,4,1,3,2774.642942
4,1,4,3,1,2808.756449
4,1,4,2,3,2774.859703
4,1,4,4,1,2820.475103
5,1,5,0,5,2792.762304
5,1,5,2,3,2868.615922
5,1,5,4,1,2902.007557
5,1,5,1,5,2792.762812
5,1,5,3,3,2869.441506
5,1,5,5,1,2918.975323
5,1,5,1,4,2835.893945
5,1,5,3,2,2889.033272
5,1,5,5,0,2919.64581
5,1,5,2,4,2835.929048
5,1,5,4,2,2895.357645
6,1,6,0,6,2853.63335
6,1,6,2,4,2949.009715
6,1,6,4,2,2999.341027
6,1,6,6,0,3037.41231
6,1,6,1,6,2853.633419
6,1,6,3,4,2949.179311
6,1,6,5,2,3010.164765
6,1,6,1,5,2906.360362
6,1,6,3,3,2980.442346
6,1,6,5,1,3014.631903
6,1,6,2,5,2906.365823
6,1,6,4,3,2982.718542
6,1,6,6,1,3037.079441
7,1,7,0,7,2923.819985
7,1,7,2,5,3038.348402
7,1,7,4,3,3109.690404
7,1,7,6,1,3146.949442
7,1,7,1,7,2923.819994
7,1,7,3,5,3038.380145
7,1,7,5,3,3114.683763
7,1,7,7,1,3174.613634
7,1,7,1,6,2986.103534
7,1,7,3,4,3080.217667
7,1,7,5,2,3127.894418
7,1,7,7,0,3174.773258
7,1,7,2,6,2986.104396
7,1,7,4,4,3080.807761
7,1,7,6,2,3144.236677
8,1,8,0,8,3003.311256
8,1,8,2,6,3136.850916
8,1,8,4,4,3229.045659
8,1,8,6,2,3275.056307
8,1,8,8,0,3331.407858
8,1,8,1,8,3003.311257
8,1,8,3,6,3136.856753
8,1,8,5,4,3230.680459
8,1,8,7,2,3297.528889
8,1,8,1,7,3075.123763
8,1,8,3,5,3188.452724
8,1,8,5,3,3256.163257
8,1,8,7,1,3299.04325
8,1,8,2,7,3075.123905
8,1,8,4,5,3188.584423
8,1,8,6,3,3265.352338
8,1,8,8,1,3331.332468
9,1,9,0,9,3092.09409
9,1,9,2,7,3244.556526
9,1,9,4,5,3356.316347
9,1,9,6,3,3419.966878
9,1,9,8,1,3470.712407
9,1,9,1,9,3092.09409
9,1,9,3,7,3244.557615
9,1,9,5,5,3356.750646
9,1,9,7,3,3434.732907
9,1,9,9,1,3506.922113
9,1,9,1,8,3173.407824
9,1,9,3,6,3305.611611
9,1,9,5,4,3394.930452
9,1,9,7,2,3441.249834
9,1,9,9,0,3506.957694
9,1,9,2,8,3173.407848
9,1,9,4,6,3305.639548
9,1,9,6,4,3398.704322
9,1,9,8,2,3469.915177
10,1,10,0,10,3190.153261
10,1,10,2,8,3361.455555
10,1,10,4,6,3492.069515
10,1,10,6,4,3577.386176
10,1,10,8,2,3626.79384
10,1,10,10,0,3701.014903
10,1,10,1,10,3190.153261
10,1,10,3,8,3361.455764
10,1,10,5,6,3492.175172
10,1,10,7,4,3584.822279
10,1,10,9,2,3661.173553
10,1,10,1,9,3280.937071
10,1,10,3,7,3431.840292
10,1,10,5,5,3541.462363
10,1,10,7,3,3601.427514
10,1,10,9,1,3661.578963
10,1,10,2,9,3280.937076
10,1,10,4,7,3431.846172
10,1,10,6,5,3542.662208
10,1,10,8,3,3622.790504
10,1,10,10,1,3700.997915
11,1,11,0,11,3297.471167
11,1,11,2,9,3487.522717
11,1,11,4,7,3636.654126
11,1,11,6,5,3743.278564
11,1,11,8,3,3800.993516
11,1,11,10,1,3871.181969
11,1,11,1,11,3297.471167
11,1,11,3,9,3487.522759
11,1,11,5,7,3636.67904
11,1,11,7,5,3746.129414
11,1,11,9,3,3829.406315
11,1,11,11,1,3913.093301
11,1,11,1,10,3397.688244
11,1,11,3,8,3567.151547
11,1,11,5,6,3695.831931
11,1,11,7,4,3776.225536
11,1,11,9,2,3831.691519
11,1,11,11,0,3913.101606
11,1,11,2,10,3397.688245
11,1,11,4,8,3567.1528
11,1,11,6,6,3696.166064
11,1,11,8,4,3788.987294
11,1,11,10,2,3870.97894
12,1,12,0,12,3414.027545
12,1,12,2,10,3622.722981
12,1,12,4,8,3790.149173
12,1,12,6,6,3916.393825
12,1,12,8,4,3991.616715
12,1,12,10,2,4055.582493
12,1,12,12,0,4142.643017
12,1,12,1,12,3414.027545
12,1,12,3,10,3622.72299
12,1,12,5,8,3790.155013
12,1,12,7,6,3917.305646
12,1,12,9,4,4011.11759
12,1,12,11,2,4098.895705
12,1,12,1,11,3523.632884
12,1,12,3,9,3711.515269
12,1,12,5,7,3858.619697
12,1,12,7,5,3961.097563
12,1,12,9,3,4019.106502
12,1,12,11,1,4098.997473
12,1,12,2,11,3523.632885
12,1,12,4,9,3711.515541
12,1,12,6,7,3858.70751
12,1,12,8,5,3966.991024
12,1,12,10,3,4054.340403
12,1,12,12,1,4142.638804
13,1,13,0,13,3539.799102
13,1,13,2,11,3767.011436
13,1,13,4,9,3952.529385
13,1,13,6,7,4097.277923
13,1,13,8,5,4194.417365
13,1,13,10,3,4255.963762
13,1,13,12,1,4344.415201
13,1,13,1,13,3539.799102
13,1,13,3,11,3767.011438
13,1,13,5,9,3952.53076
13,1,13,7,7,4097.544188
13,1,13,9,5,4205.091331
13,1,13,11,3,4297.20059
13,1,13,13,1,4388.930643
13,1,13,1,12,3658.736339
13,1,13,3,10,3864.88057
13,1,13,5,8,4030.046074
13,1,13,7,6,4153.105975
13,1,13,9,4,4223.955532
13,1,13,11,2,4297.859464
13,1,13,13,0,4388.932897
13,1,13,2,12,3658.736339
13,1,13,4,10,3864.88063
13,1,13,6,8,4030.068584
13,1,13,8,6,4155.288827
13,1,13,10,4,4251.038829
13,1,13,12,2,4344.363352
14,1,14,0,14,3674.759086
14,1,14,2,12,3920.331608
14,1,14,4,10,4123.72487
14,1,14,6,8,4286.366469
14,1,14,8,6,4405.198175
14,1,14,10,4,4473.683568
14,1,14,12,2,4557.762773
14,1,14,14,0,4651.090147
14,1,14,1,14,3674.759086
14,1,14,3,12,3920.331608
14,1,14,5,10,4123.725197
14,1,14,7,8,4286.440688
14,1,14,9,6,4409.810849
14,1,14,11,4,4508.42091
14,1,14,13,2,4606.671899
14,1,14,1,13,3802.956507
14,1,14,3,11,4027.178918
14,1,14,5,9,4210.116667
14,1,14,7,7,4352.056433
14,1,14,9,5,4443.107854
14,1,14,11,3,4511.29362
14,1,14,13,1,4606.699197
14,1,14,2,13,3802.956507
14,1,14,4,11,4027.178931
14,1,14,6,9,4210.122373
14,1,14,8,7,4352.764724
14,1,14,10,5,4460.228531
14,1,14,12,3,4557.414007
14,1,14,14,1,4651.088849
15,1,15,0,15,3818.87678
15,1,15,2,13,4082.613106
15,1,15,4,11,4303.63472
15,1,15,6,9,4483.7474
15,1,15,8,7,4622.237682
15,1,15,10,5,4707.373158
15,1,15,12,3,4784.347707
15,1,15,14,1,4884.942146
15,1,15,1,15,3818.87678
15,1,15,3,13,4082.613106
15,1,15,5,11,4303.634797
15,1,15,7,9,4483.76751
15,1,15,9,7,4623.90736
15,1,15,11,5,4732.077872
15,1,15,13,3,4834.191872
15,1,15,15,1,4928.006597
15,1,15,1,14,3956.242334
15,1,15,3,12,4198.322294
15,1,15,5,10,4398.743547
15,1,15,7,8,4558.536406
15,1,15,9,6,4671.928614
15,1,15,11,4,4741.045887
15,1,15,13,2,4834.380091
15,1,15,15,0,4928.007425
15,1,15,2,14,3956.242334
15,1,15,4,12,4198.322298
15,1,15,6,10,4398.744984
15,1,15,8,8,4558.749997
15,1,15,10,6,4680.539874
15,1,15,12,4,4782.71616
15,1,15,14,2,4884.927005
16,1,16,0,16,3972.11691
16,1,16,2,14,4253.768745
16,1,16,4,12,4492.126842
16,1,16,6,10,4689.325713
16,1,16,8,8,4845.852929
16,1,16,10,6,4952.815043
16,1,16,12,4,5025.787086
16,1,16,14,2,5126.580747
16,1,16,16,0,5218.297999
16,1,16,1,16,3972.11691
16,1,16,3,14,4253.768745
16,1,16,5,12,4492.126861
16,1,16,7,10,4689.331038
16,1,16,9,8,4846.395424
16,1,16,11,6,4967.05266
16,1,16,13,4,5073.099518
16,1,16,15,2,5178.00855
16,1,16,1,15,4118.532054
16,1,16,3,13,4378.199626
16,1,16,5,11,4595.783629
16,1,16,7,9,4772.786247
16,1,16,9,7,4906.960395
16,1,16,11,5,4987.50724
16,1,16,13,3,5074.029152
16,1,16,15,1,5178.017611
16,1,16,2,15,4118.532054
16,1,16,4,13,4378.199627
16,1,16,6,11,4595.783988
16,1,16,8,9,4772.847619
16,1,16,10,7,4910.458616
16,1,16,12,5,5020.098122
16,1,16,14,3,5126.474752
16,1,16,16,1,5218.297392
17,1,17,0,17,4134.438956
17,1,17,2,15,4433.691124
17,1,17,4,13,4689.033353
17,1,17,6,11,4902.906957
17,1,17,8,9,5076.460758
17,1,17,10,7,5205.304742
17,1,17,12,5,5283.584452
17,1,17,14,3,5378.949934
17,1,17,16,1,5484.538058
17,1,17,1,17,4134.438956
17,1,17,3,15,4433.691124
17,1,17,5,13,4689.033358
17,1,17,7,11,4902.908332
17,1,17,9,9,5076.624618
17,1,17,11,7,5211.807723
17,1,17,13,5,5323.429536
17,1,17,15,3,5432.838701
17,1,17,17,1,5520.261019
17,1,17,1,16,4289.751119
17,1,17,3,14,4566.672158
17,1,17,5,12,4801.044873
17,1,17,7,10,4994.732447
17,1,17,9,8,5147.455149
17,1,17,11,6,5247.703785
17,1,17,13,4,5326.974281
17,1,17,15,2,5432.90274
17,1,17,17,0,5520.261558
17,1,17,2,16,4289.751119
17,1,17,4,14,4566.672158
