Range    : 0.200

Accuracy : 0.001

Control file  : gr32new

Spectrum file : 9md

Searching 7 0 7 near 2503.73241

6 2 4 2178.9224 100.1 2503.84031
8 2 6 1988.55164 100.1 2503.8404

6 0 6 2275.9367 100.1 2503.88166
8 0 8 2124.47424 100.1 2503.88174

6 2 4 2179.01052 100.3 2503.92843
8 2 6 1988.6397 100.2 2503.92845

6 2 4 2178.70292 100.1 2503.62083
8 2 6 1988.33173 100.1 2503.62049

6 2 4 2178.77462 100.0 2503.69253
7 2 6 2141.33988 100.2 2503.69271
8 2 6 1988.40459 100.0 2503.69335

6 2 4 2178.85154 100.2 2503.76945
8 2 6 1988.48066 100.0 2503.76942

6 2 4 2178.9224 100.1 2503.84031
8 2 6 1988.55164 100.1 2503.8404

6 2 4 2179.01052 100.3 2503.92843
8 2 6 1988.6397 100.2 2503.92845

Searching 7 1 7 near 2923.87274

6 3 4 2598.68877 99.2 2923.83517
8 3 6 2408.53868 89.4 2923.83596

6 3 4 2598.68877 99.2 2923.83517
8 3 6 2408.53868 89.4 2923.83596

6 3 4 2598.68877 99.2 2923.83517
8 3 6 2408.53868 89.4 2923.83596

Searching 8 0 8 near 2483.18482

7 0 7 2184.04399 100.1 2483.0137
9 0 9 2013.76702 100.2 2483.01338

7 0 7 2184.07816 100.2 2483.04788
9 0 9 2013.80055 99.9 2483.04691

7 0 7 2184.19081 100.0 2483.16052
9 0 9 2013.91364 100.0 2483.16

7 0 7 2184.21694 100.1 2483.18665
9 0 9 2013.94078 100.1 2483.18714

7 2 5 2067.72576 99.8 2483.2031
9 2 7 1858.7896 100.1 2483.20262

7 0 7 2184.25684 100.1 2483.22655
9 0 9 2013.98107 100.1 2483.22743

7 0 7 2184.33845 100.2 2483.30816
9 0 9 2014.06272 99.9 2483.30909

7 0 7 2184.38451 100.0 2483.35422
9 0 9 2014.10778 99.9 2483.35414

7 2 5 2067.56501 98.8 2483.04236
9 2 7 1858.63045 100.0 2483.04347

7 2 5 2067.62365 0.4 2483.101
9 2 7 1858.68715 99.9 2483.10017

7 2 5 2067.81131 48.8 2483.28866
9 2 7 1858.87375 100.0 2483.28677

7 2 5 2067.55048 98.5 2483.02782
9 2 7 1858.61395 100.1 2483.02697

7 2 5 2067.60609 34.2 2483.08344
9 2 7 1858.66977 100.2 2483.08279

7 2 5 2067.62365 0.4 2483.101
9 2 7 1858.68715 99.9 2483.10017

7 2 5 2067.62663 0.1 2483.10398
9 2 7 1858.69117 100.1 2483.10419

7 2 5 2067.72576 99.8 2483.2031
9 2 7 1858.7896 100.1 2483.20262

7 2 5 2067.74047 99.6 2483.21782
8 2 7 2030.72245 99.8 2483.21711
9 2 7 1858.80423 100.3 2483.21725

7 2 5 2067.82934 99.7 2483.30668
9 2 7 1858.89269 100.2 2483.30571

7 2 5 2067.87593 99.5 2483.35327
9 2 7 1858.9396 99.9 2483.35262

Searching 8 1 8 near 3003.35701

7 3 5 2587.81603 99.9 3003.33808
9 3 7 2378.9236 90.3 3003.33826

7 3 5 2587.81603 99.9 3003.33808
9 3 7 2378.9236 90.3 3003.33826

Searching 9 0 9 near 3092.13313

Searching 9 1 9 near 3092.13313

8 3 6 2576.83515 99.1 3092.13243
10 3 8 2349.27994 92.9 3092.13308

8 3 6 2576.83515 99.1 3092.13243
10 3 8 2349.27994 92.9 3092.13308

8 3 6 2576.83515 99.1 3092.13243
10 3 8 2349.27994 92.9 3092.13308

Searching 10 0 10 near 2616.99373

9 0 9 2147.54019 100.2 2616.78656
11 0 11 1939.7143 100.1 2616.78628

9 0 9 2147.6404 100.1 2616.88676
11 0 11 1939.81529 100.1 2616.88727

9 0 9 2147.76217 100.1 2617.00853
11 0 11 1939.93727 99.7 2617.00925

9 0 9 2147.76911 100.1 2617.01547
11 0 11 1939.94302 100.2 2617.015

9 0 9 2147.78349 100.1 2617.02985
11 0 11 1939.95691 99.8 2617.02889

9 0 9 2147.89166 100.2 2617.13802
11 0 11 1940.06574 100.1 2617.13772

9 0 9 2147.89623 100.4 2617.14259
11 0 11 1940.06984 99.9 2617.14182

Searching 10 1 10 near 3190.18594

9 1 9 2720.90625 97.0 3190.15261
11 1 11 2513.0812 96.1 3190.15318

9 3 7 2565.7966 99.1 3190.21126
11 3 9 2319.61401 95.6 3190.21033

9 3 7 2565.54118 100.0 3189.95584
11 3 9 2319.3591 21.3 3189.95542

9 3 7 2565.7966 99.1 3190.21126
11 3 9 2319.61401 95.6 3190.21033

Searching 11 0 11 near 2518.9327

Searching 11 1 11 near 3297.49794

10 1 10 2729.08152 97.9 3297.55436
11 1 10 2518.42663 80.5 3297.55412
12 1 12 2502.5272 99.9 3297.55462
10 3 8 2554.70068 99.3 3297.55382
12 3 10 2289.92747 97.6 3297.55414

10 3 8 2554.70068 99.3 3297.55382
12 3 10 2289.92747 97.6 3297.55414

10 3 8 2554.70068 99.3 3297.55382
12 3 10 2289.92747 97.6 3297.55414

10 3 8 2554.70068 99.3 3297.55382
12 3 10 2289.92747 97.6 3297.55414

10 3 8 2554.80889 99.8 3297.66203
12 3 10 2290.03541 100.2 3297.66208

Searching 12 0 12 near 2437.07788

Searching 12 1 12 near 3414.04898

11 3 9 2543.55188 99.6 3414.1482
13 3 11 2260.22254 98.7 3414.1473

11 3 9 2543.55188 99.6 3414.1482
13 3 11 2260.22254 98.7 3414.1473

