Range    : 0.200

Accuracy : 0.003

Control file  : gr32new

Spectrum file : 9md

Searching 1 1 0 near 2648.69151

Searching 2 1 1 near 2679.3992

1 1 0 2659.88226 99.9 2679.25788
3 3 0 2561.86637 100.1 2679.25835

1 1 0 2660.03975 99.7 2679.41537
2 1 2 2641.11728 52.1 2679.41502

1 1 0 2660.09687 100.0 2679.4725
3 1 2 2584.41343 100.1 2679.46973

2 1 2 2641.07247 93.8 2679.37022
3 3 0 2561.97866 100.0 2679.37064

2 1 2 2641.17079 99.6 2679.46854
3 1 2 2584.41343 100.1 2679.46973

2 1 2 2641.21371 89.4 2679.51146
3 3 0 2562.11865 100.0 2679.51063

2 1 2 2641.27351 99.0 2679.57126
3 3 0 2562.17962 99.4 2679.57161

Searching 2 2 1 near 2683.82983

3 2 2 2587.33626 98.9 2683.72872
2 0 2 2645.71183 99.0 2683.72789

Searching 3 1 2 near 2722.33277

2 1 1 2671.19271 97.0 2722.33286
3 1 3 2650.86759 92.7 2722.33274
4 1 3 2574.19214 90.8 2722.33272
3 3 1 2606.99203 96.7 2722.33262
4 3 1 2539.68419 83.5 2722.33268

3 1 3 2650.73058 67.6 2722.19574
4 1 3 2574.05238 99.9 2722.19296

3 1 3 2650.82082 99.9 2722.28598
3 3 1 2606.94252 99.8 2722.2831

3 1 3 2650.86759 92.7 2722.33274
4 1 3 2574.19214 90.8 2722.33272
3 3 1 2606.99203 96.7 2722.33262
4 3 1 2539.68419 83.5 2722.33268

3 1 3 2651.0436 93.5 2722.50875
4 1 3 2574.36555 99.9 2722.50613

3 1 3 2651.06149 87.4 2722.52664
4 3 1 2539.87958 99.1 2722.52807

4 1 3 2574.14011 100.0 2722.28069
3 3 1 2606.94252 99.8 2722.2831

4 1 3 2574.19214 90.8 2722.33272
3 3 1 2606.99203 96.7 2722.33262
4 3 1 2539.68419 83.5 2722.33268

3 3 1 2606.99203 96.7 2722.33262
4 3 1 2539.68419 83.5 2722.33268

Searching 3 2 2 near 2724.00541

2 2 1 2668.68843 95.7 2723.85001
4 4 1 2528.19123 100.0 2723.85264

2 2 1 2669.08784 99.6 2724.24942
4 4 1 2528.58812 99.9 2724.24954

3 2 1 2616.43255 99.4 2723.80075
3 0 3 2652.37837 99.7 2723.80263

3 2 1 2616.51957 98.5 2723.88777
3 0 3 2652.46413 99.9 2723.8884

3 2 1 2616.69778 100.0 2724.06598
4 4 1 2528.40623 99.9 2724.06765

4 2 3 2575.67019 100.0 2724.0885
3 0 3 2652.66635 100.0 2724.09061

Searching 4 1 3 near 2774.62184

3 1 2 2679.42558 91.1 2774.48188
3 3 0 2657.08882 99.1 2774.4808

3 1 2 2679.47454 75.4 2774.53084
5 3 2 2510.79358 99.9 2774.53252

3 1 2 2679.56557 89.5 2774.62187
4 1 4 2660.44426 66.5 2774.62184
5 1 4 2564.40455 79.0 2774.62182
3 3 0 2657.22951 98.3 2774.6215
4 3 2 2600.65451 74.1 2774.62177
5 3 2 2510.88295 64.6 2774.6219

3 1 2 2679.7309 99.5 2774.7872
5 3 2 2511.04554 100.1 2774.78449

4 1 4 2660.37332 98.6 2774.5509
5 3 2 2510.81006 99.9 2774.549

4 1 4 2660.44426 66.5 2774.62184
5 1 4 2564.40455 79.0 2774.62182
3 3 0 2657.22951 98.3 2774.6215
4 3 2 2600.65451 74.1 2774.62177
5 3 2 2510.88295 64.6 2774.6219

4 1 4 2660.48459 97.5 2774.66217
5 1 4 2564.44417 98.8 2774.66144

4 1 4 2660.51198 99.8 2774.68956
3 3 0 2657.30053 99.9 2774.69251
4 3 2 2600.72113 20.7 2774.68839

4 1 4 2660.52955 99.2 2774.70713
5 3 2 2510.9699 96.7 2774.70884

4 1 4 2660.61312 87.4 2774.7907
3 3 0 2657.40097 99.5 2774.79296

5 1 4 2564.1609 99.8 2774.37817
4 3 2 2600.41063 100.0 2774.37789

5 1 4 2564.23136 99.9 2774.44864
4 3 2 2600.48086 99.0 2774.44812

5 1 4 2564.40455 79.0 2774.62182
3 3 0 2657.22951 98.3 2774.6215
4 3 2 2600.65451 74.1 2774.62177
5 3 2 2510.88295 64.6 2774.6219

3 3 0 2657.03577 99.6 2774.42776
5 3 2 2510.69015 98.7 2774.4291

3 3 0 2657.13088 99.8 2774.52286
4 3 2 2600.55792 99.2 2774.52517

3 3 0 2657.22951 98.3 2774.6215
4 3 2 2600.65451 74.1 2774.62177
5 3 2 2510.88295 64.6 2774.6219

3 3 0 2657.44782 100.1 2774.8398
5 3 2 2511.10243 85.3 2774.84138

4 3 2 2600.65451 74.1 2774.62177
5 3 2 2510.88295 64.6 2774.6219

Searching 4 2 3 near 2775.02325

3 2 2 2678.58941 99.3 2774.98186
